Modelo,XGBoost,LGBMRegressor,RandomForestRegressor,LinearRegression,SVR,StackingRegressor,Ridge,BayesianRidge,Lasso,ElasticNet
RMSE,280.43896484375,261.4881407376514,245.9817209527988,187.2547069362164,186.9832907265792,178.7575790060028,239.53669562250656,195.35146541301378,183.7284576177107,184.00471426349083
MAE,233.65895080566406,211.50413766826384,186.37049122807022,144.31518881330877,144.29999747003532,141.2564160360749,181.4077001083698,149.68345911682988,144.82616178170238,145.39762102800512
R²,0.8175467252731323,0.841372326397505,0.8596279533520464,0.9186532049262145,0.9188888501398061,0.9258683120135704,0.8668874297478788,0.9114663625915865,0.9216880894958055,0.9214524107040556
